ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR1107,29305826,JENIPAPEIRO (GENIPA AMERICANA),-10.872406,-37.14517,14,data/imagem/AR1107_1107.jpg
AR1153,29390196,JENIPAPEIRO (GENIPA AMERICANA),-10.872755,-37.168739,12,data/imagem/AR1153_1153.jpg
AR1304,29304839,JENIPAPEIRO (GENIPA AMERICANA),-10.867123,-37.115574,13,data/imagem/AR1304_1304.jpg
AR857,29389386,JENIPAPEIRO (GENIPA AMERICANA),-10.920033,-37.079217,11,data/imagem/AR857_857.jpg
AR979,222356202,JENIPAPEIRO (GENIPA AMERICANA),-10.897121,-37.105491,8,data/imagem/AR979_979.jpg
AR992,29253586,JENIPAPEIRO (GENIPA AMERICANA),-10.841706,-37.149053,16,data/imagem/AR992_992.jpg
AR011,230639328,MANGUEIRA,-11.061765,-37.116249,7,data/imagem/AR011_11.jpg
AR021,241829735,MANGUEIRA,-11.061936,-37.120369,10,data/imagem/AR021_21.jpg
AR042,241817065,MANGUEIRA,-11.06875,-37.131007,11,data/imagem/AR042_42.jpg
AR058,29437433,MANGUEIRA,-11.069104,-37.126457,"8,5",data/imagem/AR058_58.jpg
AR059,29222038,MANGUEIRA,-11.069322,-37.126055,8,data/imagem/AR059_59.jpg
AR064,29292450,MANGUEIRA,-11.07295,-37.122947,8,data/imagem/AR064_64.jpg
AR066,29226717,MANGUEIRA,-11.074381,-37.124489,7,data/imagem/AR066_66.jpg
AR897,29232264,MANGUEIRA,-10.910737,-37.100212,10,data/imagem/AR897_897.jpg
AR077,29400551,MANGUEIRA,-11.072441,-37.130453,11,data/imagem/AR077_77.jpg
AR085,29438098,MANGUEIRA,-11.07424,-37.135346,"7,5",data/imagem/AR085_85.jpg
AR086,46035979,MANGUEIRA,-11.075007,-37.135547,"7,5",data/imagem/AR086_86.jpg
AR113,29293199,MANGUEIRA,-11.082513,-37.141968,13,data/imagem/AR113_113.jpg
AR898,29307228,MANGUEIRA,-10.910736,-37.099279,12,data/imagem/AR898_898.jpg
AR143,226564465,MANGUEIRA,-11.081217,-37.147442,7,data/imagem/AR143_143.jpg
AR162,29441840,MANGUEIRA,-11.089628,-37.139854,13,data/imagem/AR162_162.jpg
AR169,79907046,MANGUEIRA,-11.073459,-37.138472,6,data/imagem/AR169_169.jpg
AR197,29354792,MANGUEIRA,-11.075222,-37.134043,12,data/imagem/AR197_197.jpg
AR219,29244513,MANGUEIRA,-11.069569,-37.137181,1000,data/imagem/AR219_219.jpg
AR228,29442626,MANGUEIRA,-11.064415,-37.137662,11,data/imagem/AR228_228.jpg
AR905,29308083,MANGUEIRA,-10.922911,-37.109408,13,data/imagem/AR905_905.jpg
AR282,241829500,MANGUEIRA,-11.063411,-37.116467,12,data/imagem/AR282_282.jpg
AR325,29292950,MANGUEIRA,-11.093126,-37.13755,8,data/imagem/AR325_325.jpg
AR335,232820795,MANGUEIRA,-11.09762,-37.14786,13,data/imagem/AR335_335.jpg
AR341,29292843,MANGUEIRA,-11.095465,-37.141797,11,data/imagem/AR341_341.jpg
AR358,29253325,MANGUEIRA,-11.066033,-37.115628,6,data/imagem/AR358_358.jpg
AR399,29293065,MANGUEIRA,-11.096569,-37.140148,10,data/imagem/AR399_399.jpg
AR414,29206187,MANGUEIRA,-11.095806,-37.138758,12,data/imagem/AR414_414.jpg
AR458,29292915,MANGUEIRA,-11.098297,-37.142379,12,data/imagem/AR458_458.jpg
AR529,29213613,MANGUEIRA,-11.042768,-37.111618,14,data/imagem/AR529_529.jpg
AR532,239540833,MANGUEIRA,-11.040289,-37.121094,8,data/imagem/AR532_532.jpg
AR538,30301655,MANGUEIRA,-11.035525,-37.096201,8,data/imagem/AR538_538.jpg
AR552,29240763,MANGUEIRA,-11.023111,-37.093246,8,data/imagem/AR552_552.jpg
AR553,29291730,MANGUEIRA,-11.023202,-37.094056,9,data/imagem/AR553_553.jpg
AR554,29363736,MANGUEIRA,-11.022439,-37.094654,8,data/imagem/AR554_554.jpg
AR571,29401051,MANGUEIRA,-11.024518,-37.088475,11,data/imagem/AR571_571.jpg
AR572,29401050,MANGUEIRA,-11.024342,-37.08886,6,data/imagem/AR572_572.jpg
AR629,29291890,MANGUEIRA,-11.043473,-37.101624,12,data/imagem/AR629_629.jpg
AR632,29400840,MANGUEIRA,-11.044044,-37.100155,11,data/imagem/AR632_632.jpg
AR654,29295777,MANGUEIRA,-11.012087,-37.075637,12,data/imagem/AR654_654.jpg
AR665,190606635,MANGUEIRA,-11.051676,-37.097961,7,data/imagem/AR665_665.jpg
AR680,29505798,MANGUEIRA,-11.043369,-37.095968,11,data/imagem/AR680_680.jpg
AR917,29211191,MANGUEIRA,-10.909819,-37.094294,7,data/imagem/AR917_917.jpg
AR754,29268144,MANGUEIRA,-11.061698,-37.116805,11,data/imagem/AR754_754.jpg
AR761,29206916,MANGUEIRA,-11.063502,-37.116504,8,data/imagem/AR761_761.jpg
AR955,29392076,MANGUEIRA,-10.890233,-37.09878,6,data/imagem/AR955_955.jpg
AR1894,29327927,NAO ESPECIFICADO,-11.046724,-37.154681,6,data/imagem/AR1894_1894.jpg
AR1895,29326359,NAO ESPECIFICADO,-11.046567,-37.154279,"8,5",data/imagem/AR1895_1895.jpg
AR1807,29327375,NAO ESPECIFICADO,-11.027161,-37.179134,10,data/imagem/AR1807_1807.jpg
AR1812,29327973,NAO ESPECIFICADO,-11.028064,-37.17671,6,data/imagem/AR1812_1812.jpg
AR1813,29327973,NAO ESPECIFICADO,-11.028197,-37.176613,6,data/imagem/AR1813_1813.jpg
AR1816,29327147,NAO ESPECIFICADO,-11.032973,-37.168045,11,data/imagem/AR1816_1816.jpg
AR1818,29535700,NAO ESPECIFICADO,-11.032558,-37.167855,13,data/imagem/AR1818_1818.jpg
AR1820,29538381,NAO ESPECIFICADO,-11.0323,-37.167491,15,data/imagem/AR1820_1820.jpg
AR1846,29327918,NAO ESPECIFICADO,-11.042911,-37.165426,5,data/imagem/AR1846_1846.jpg
AR1847,29327918,NAO ESPECIFICADO,-11.042858,-37.165457,5,data/imagem/AR1847_1847.jpg
AR1849,29327918,NAO ESPECIFICADO,-11.042873,-37.165354,6,data/imagem/AR1849_1849.jpg
AR1855,89409684,MANGUEIRA,-11.044429,-37.165578,17,data/imagem/AR1855_1855.jpg
AR1861,204566160,NAO ESPECIFICADO,-11.045773,-37.166615,8,data/imagem/AR1861_1861.jpg
AR1880,29326187,NAO ESPECIFICADO,-11.043485,-37.159815,6,data/imagem/AR1880_1880.jpg
AR1890,29327015,NAO ESPECIFICADO,-11.045754,-37.157593,8,data/imagem/AR1890_1890.jpg
AR1891,29326360,NAO ESPECIFICADO,-11.046021,-37.157002,15,data/imagem/AR1891_1891.jpg
AR1893,29327927,NAO ESPECIFICADO,-11.046612,-37.154794,7,data/imagem/AR1893_1893.jpg
AR253,29397782,NIM INDIANO,-11.102598,-37.150595,7,data/imagem/AR253_253.jpg
AR254,29397687,NIM INDIANO,-11.102441,-37.151145,8,data/imagem/AR254_254.jpg
AR255,29397687,NIM INDIANO,-11.102453,-37.151137,"5,8",data/imagem/AR255_255.jpg
AR4613,29366094,NIM INDIANO,-11.056505,-37.515728,12,data/imagem/AR4613_4613.jpg
AR1727,29534437,PALMEIRA,-11.046472,-37.186981,11,data/imagem/AR1727_1727.jpg
AR1821,29538381,PALMEIRA,-11.032154,-37.167395,6,data/imagem/AR1821_1821.jpg
AR3397,29324245,PALMEIRA,-11.016195,-37.332918,12,data/imagem/AR3397_3397.jpg
AR378,29292218,PALMEIRA,-11.090288,-37.121241,6,data/imagem/AR378_378.jpg
AR4159,29399891,PALMEIRA,-11.128325,-37.490856,10,data/imagem/AR4159_4159.jpg
AR4712,244376506,PALMEIRA,-11.069822,-37.353044,11,data/imagem/AR4712_4712.jpg
AR6267,29324120,PALMEIRA,-10.697778,-37.033143,8,data/imagem/AR6267_6267.jpg
AR6363,29206082,PALMEIRA,-10.821927,-37.287863,"7,5",data/imagem/AR6363_6363.jpg
AR6628,29449609,PALMEIRA,-10.708397,-37.244542,15,data/imagem/AR6628_6628.jpg
AR706,29440279,PALMEIRA,-11.007385,-37.084792,5,data/imagem/AR706_706.jpg
